Section,Category,Stat,Display Name,Value,Unit,Type,Source,Description
"Weapons - Recoil","Combat|Recoil","RecoilMaxPitchDegrees","Max Accumulated Pitch (deg)","6","deg","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Ceiling, in degrees, on how far above the original aim the un-recovered climb may take the view. The kick is truncated at the ceiling rather than the ceiling being enforced afterwards, so the view never overshoots and snaps back. This is what stops a held trigger from walking the crosshair into the sky, and it is the knob to lower if long bursts stop being aimable at all. Sane range 3 to 8. [allowed range: 0.0 to 45.0]"
"Weapons - Recoil","Combat|Recoil","RecoilRecoveryDelaySeconds","Recovery Delay (s after last shot)","0.45","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds after the LAST shot before recovery starts pulling the view back down. KEEP THIS AT OR ABOVE FireInterval (now 0.3158, spec v24 §4) OR THE GUN NEVER CLIMBS. Recovery that starts between two shots of a held burst undoes each kick before the next one lands, which produces a muzzle that twitches and returns instead of a pattern the player can learn and pre-aim against. 0.45 s was ""one fire interval plus a beat"" ... [allowed range: 0.0 to 3.0]"
"Weapons - Recoil","Combat|Recoil","RecoilRecoverySpeed","Recovery Speed (proportional, per s)","6","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Proportional recovery rate, per second (an FInterpTo speed): the view gives back this fraction of the REMAINING climb every second, so the return decelerates as it lands. Proportional rather than linear because a constant-rate return reads as the camera being driven by something rather than settling. At 6 the first half of the climb is gone in about 0.12 s and the tail takes ~0.5 s. Sane range 3 (languid) to 12 ... [allowed range: 0.0 to 40.0]"
"Weapons - Recoil","Combat|Recoil","RecoilRecoveryMinRateDegrees","Recovery Floor (deg/s)","4","deg/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Floor, in degrees per second, under the proportional recovery above. A purely proportional return has an infinite tail: it takes as long to go 0.2 deg -> 0.1 deg as 2 deg -> 1 deg, so the view hangs a fraction of a degree high for a second or more and the player's next burst starts from somewhere they did not choose. This term is what actually lands it. Sane range 2 to 8; 0 restores the infinite tail. [allowed range: 0.0 to 90.0]"
"Weapons - Recoil","Combat|Recoil","RecoilBurstResetSeconds","Burst Reset Gap (s)","0.75","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","A gap of this many seconds between shots resets the per-shot GROWTH back to the first-shot kick. It does not touch the climb already accumulated, which recovers on its own schedule. Without it, ten single aimed shots spread over a minute would each kick harder than the last. Keep it above FireInterval (now 0.3158, spec v24 §4) or a held burst resets its own growth every shot and the growth term does nothing. Sane ... [allowed range: 0.0 to 5.0]"
"Weapons - Recoil","Combat|Recoil","bRecoilPlayerCompensationCancels","Player Compensation Cancels Recovery","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","True: pulling the mouse DOWN during recovery cancels an equal amount of the pending return, so the player's own compensation is not paid back to them as a second, downward kick when the gun settles. This is the difference between recoil a player can fight and recoil that fights back. With it off, a player who drags down 3 degrees to hold the crosshair on a chest gets those 3 degrees subtracted AGAIN by the recovery ..."
"Weapons - Recoil","Combat|Recoil","RoxieModdedRecoilScale","Roxie MODDED: added recoil (x Pitch Kick Per Shot) [v29 §2e: 1.0; 0 = the Demo 24 build]","1","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Degrees of per-shot kick MODDED adds, AS A MULTIPLE OF RecoilPitchPerShot. 1.0 = exactly the v5 gun's kick (0.80 deg on the first round of a burst, growing 18% a round to the 6 deg ceiling) while MODDED is up, and nothing at all when it is not. *** 0.0 IS THE RED ARM: MODDED with no recoil, i.e. the Demo 24 build. *** Trace.Weapons.V29 fires her at 0.0 and at the shipped value and compares the measured climb, ... [allowed range: 0.0 to 8.0]"
"Weapons - Tracer and bullet VFX","Tracer","TracerRadiusPerLength","Beam Radius per uu of Shot Length","0.00155","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Core beam RADIUS per uu of shot length. Halved this pass: 0.0031 -> 0.00155. A 4000 uu shot is now 6.2 uu in radius where it was 12.4. Clamped at both ends by the two values below, and this is the middle of the three - most in-arena shots land between the clamps, so this is the number to move if the beam is broadly too fat or too thin. [allowed range: 0.0 to 0.05]"
"Weapons - Tracer and bullet VFX","Tracer","TracerRadiusMinUU","Beam Radius Min (uu)","1.75","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Floor on the core beam radius, uu. Halved this pass: 2.5 -> 1.75. NOT halved quite as far as the rest, and deliberately. This governs SHORT shots, which are the ones already fired at point-blank range in a scrum, and it is the value that decides whether a beam is a line or a sub-pixel shimmer. Below ~1.2 uu a short shot stops resolving on a 1280-wide back buffer at all, and ""thinner"" turns into ""gone"" - which is the ... [allowed range: 0.1 to 100.0]"
"Weapons - Tracer and bullet VFX","Tracer","TracerRadiusMaxUU","Beam Radius Max (uu)","6.5","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Ceiling on the core beam radius, uu. Halved this pass: 13.0 -> 6.5. Governs LONG shots - anything past ~4200 uu is on this clamp - so this is what a cross-map shot actually looks like, and it is the single biggest contributor to ""the tracers are too thick"". The angular size it produces is what matters: 6.5 uu at 8000 uu away is about 0.09 degrees, roughly 2.5 px at 1280 wide and a 95 degree field of view, plus the ... [allowed range: 0.5 to 200.0]"
"Weapons - Tracer and bullet VFX","Tracer","TracerSheathRadiusRatio","Halo Radius (multiple of beam radius)","3.2","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","The soft additive team-coloured halo is this many times the core's radius. DELIBERATELY LEFT AT ITS OLD VALUE WHILE THE CORE WAS HALVED, which is what keeps a thin beam legible at distance. The halo is additive, writes no depth and is heavily bloomed, so it costs the player nothing in occlusion - it is what your eye finds across the arena, and the hard thin core inside it is what tells you exactly where the shot ... [allowed range: 1.0 to 12.0]"
"Weapons - Tracer and bullet VFX","Tracer","bTracerMuzzleFlash","Muzzle Flash","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Draw the small bright sphere at the MUZZLE end of the beam. ON by default. This is not the sphere spec v4 §4 asks to remove - that one was at the impact end and is deleted outright. This one sits on the viewmodel, 120 uu from the shooter's own eye, and it is a large part of why a first-person shot is visible at all: the beam runs almost straight away from the camera and projects to nearly a point, so the flash at ..."
"Weapons - Tracer and bullet VFX","Tracer","TracerMuzzleRadiusUU","Muzzle Flash Radius (uu)","2.5","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Muzzle flash RADIUS at the instant of firing, uu. Halved with the beam: 5.0 -> 2.5. Kept small on purpose, and the reason is not subtlety. Unlit emissive does not attenuate with distance, so a flash this close to the eye arrives at full intensity: measured larger and hotter first, it bloomed into a blob that ate the middle of the screen on every shot - a flashbang, not a muzzle flash. Do not push it far past ~6. [allowed range: 0.1 to 60.0]"
"Damage and hit zones","Damage","HeadDamage","","100","HP","float","UTraceDamageSettings - Project Settings > Game > Trace Damage Zones","Spec §6: a head shot is a kill outright, so this must stay >= UTraceSettings::MaxHealth."
"Damage and hit zones","Damage","BodyDamage","","40","HP","float","UTraceDamageSettings - Project Settings > Game > Trace Damage Zones","Torso and arms. Three body shots to kill (40 + 40 + 40 = 120 >= 100)."
"Damage and hit zones","Damage","LegDamage","","25","HP","float","UTraceDamageSettings - Project Settings > Game > Trace Damage Zones","Below the hips. STILL FOUR LEG SHOTS TO KILL (25 x 4 = 100 >= 100). *** 30 -> 25 THIS PASS. SPEC v29 §2a: THE OWNER HAS ANSWERED THE OPEN QUESTION AND THE ANSWER IS 25. *** Every spec table since §6 printed the pistol as 100/40/25 while this knob shipped 30 - the v28 §9 harness noticed the contradiction and deliberately refused to assert either number rather than bake a guess into a test (see Trace.Weapons.V28's ..."
"Damage and hit zones","Zones","HipHeightFraction","","0.46","0-1","float","UTraceDamageSettings - Project Settings > Game > Trace Damage Zones","Everything strictly below this fraction of the capsule height is legs. [allowed range: 0.05 to 0.9]"
"Damage and hit zones","Zones","HeadCenterHeightFraction","","0.905","0-1","float","UTraceDamageSettings - Project Settings > Game > Trace Damage Zones","Height of the head sphere's centre. [allowed range: 0.5 to 1.0]"
"Damage and hit zones","Zones","HeadRadiusFraction","","0.082","0-1","float","UTraceDamageSettings - Project Settings > Game > Trace Damage Zones","Radius of the head sphere. Raise to make one-shot kills more forgiving. [allowed range: 0.01 to 0.3]"
"Melee (Knife)","Damage","BackstabDamage","","100","HP","float","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","""100 damage if hitting a player in the back"". MaxHealth is 100, so this is a kill outright and must stay >= UTraceSettings::MaxHealth or the headline promise of the weapon stops being true. [allowed range: 1.0 to 500.0]"
"Melee (Knife)","Damage","FrontDamage","","30","HP","float","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","""30 damage in the front"". Four front swings to kill at 0.5 s apart is 1.5 s of standing in somebody's face, which is the point: the knife's front hit is a punish for being caught out, not a duelling option against a gun that kills in three body shots. [allowed range: 1.0 to 500.0]"
"Melee (Knife)","Damage","BackstabHalfAngleDegrees","","30","deg","float","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","HALF-angle, in degrees, of the rear cone that counts as a back-stab - measured between the victim's forward vector and the direction from the attacker to the victim. 30, i.e. a 60-DEGREE CONE centred on directly-behind (spec v12 §1: ""from a boundary at 90 degrees to 60 degrees, with the center of the 60 angle being at the center of the model""). The full width of the back zone is therefore 2x this number, which is ... [allowed range: 5.0 to 179.0]"
"Melee (Knife)","Timing","SwingCooldownSeconds","","0.5","s","float","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","""It should take .5seconds after a knife swing before a player can knife again."" Measured from the START of a swing, not from its resolve, so the interval a player can actually observe - press to press - is exactly this number. [allowed range: 0.05 to 5.0]"
"Melee (Knife)","Timing","SwapSeconds","","0.2","s","float","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","""Knife and gun pullout time should be roughly .2seconds."" One number for both directions - the user gave one number, and a knife that comes up faster than it goes away is a second mechanic nobody asked for. Neither shooting nor swinging is possible for this long after a swap, on the server as well as on the client. [allowed range: 0.0 to 2.0]"
"Melee (Knife)","Timing","SwingWindupSeconds","","0.1","s","float","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","Delay from the press to the instant the blade is resolved, i.e. how far into the animation the edge passes through the target. This is what makes the swing read as a SWING. Resolving on the press would put the damage on frame one of a wind-up, so the victim would die before the blade had visibly moved - the exact ""hitscan point"" spec §1 rejects. It is charged against SwingCooldownSeconds rather than added to it (the ... [allowed range: 0.0 to 0.4]"
"Melee (Knife)","Timing","SwingAnimSeconds","","0.32","s","float","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","How long the whole swing animation runs. Cosmetic only; never gates anything. [allowed range: 0.05 to 1.0]"
"Melee (Knife)","Reach","SwingRangeUU","","180","uu","float","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","How far the blade reaches from the muzzle point, in uu. 180 is a bit over one capsule diameter (68) plus a capsule radius of standoff, so you connect at the range you would expect to be able to touch somebody and not appreciably further. Note this is measured from GetMuzzleLocation(), which already sits ~22 uu ahead of the eye. [allowed range: 20.0 to 1000.0]"
"Melee (Knife)","Reach","SwingArcDegrees","","140","deg","float","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","Total width of the swept arc in degrees, centred on the aim direction. 140 is wide enough that a passing slash connects without the crosshair being on the body, which is what separates a slash from a very short shotgun. [allowed range: 5.0 to 270.0]"
"Melee (Knife)","Reach","SwingSamples","","15","count","int32","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","How many rays the arc is sampled with. Keep it ODD so one sample always runs dead ahead. THE RULE FOR CHOOSING IT, and it is arithmetic rather than taste: the chord between adjacent rays at maximum reach, chord = 2 * SwingRangeUU * sin( radians(SwingArcDegrees) / (2 * (SwingSamples - 1)) ) must stay at or under the 34 uu capsule radius, or a body can sit between two rays and take nothing from a swing that visibly ... [allowed range: 1 to 51]"
"Melee (Knife)","Bots","BotEngageRangeUU","","500","uu","float","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","Distance at or inside which a bot swaps to the knife to close on its target. The +22% makes the knife the correct chase tool, so the bot's rule is a range band rather than a state: inside this it is worth trading the gun for the speed, outside BotDisengageRangeUU it is not. The gap between the two is hysteresis - without it a bot at exactly the boundary swap-thrashes and spends its whole life in a 0.2 s pullout. ... [allowed range: 0.0 to 5000.0]"
"Melee (Knife)","Bots","BotDisengageRangeUU","","750","uu","float","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","Range at which a knife-carrying bot gives up and puts the gun back. Must exceed the engage range. [allowed range: 0.0 to 6000.0]"
"Melee (Knife)","Bots","BotSwingRangeFraction","","0.85","0-1","float","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","Fraction of SwingRangeUU a bot must be inside before it swings. Under 1 so it does not flail. [allowed range: 0.1 to 1.0]"
"Melee (Knife)","Dual wield","bDualWieldKnife","Dual-wield the knife with a gun [v28 §10 — THE REVERT SWITCH]","true","on/off","bool","UTraceMeleeSettings - Project Settings > Game > Trace Melee (Knife); [/Script/Trace.TraceMeleeSettings] in DefaultGame.ini","*** T H E O N E S W I T C H (spec v28 §10) *** Spec v28 §10, verbatim: ""Knives are being changed so that you can dual wield them with a gun. Gun in one hand, knife in the other. [...] But you no longer have to swap between knife and gun, just the different guns. Make these knife changes easy to revert with one prompt."" *** THIS BOOL IS THAT ONE PROMPT. *** Set it false - here, in Config/DefaultGame.ini, with ..."
"Health and regeneration","Regeneration","bRegenEnabled","Enable Health Regeneration","true","on/off","bool","UTraceHealthSettings - Project Settings > Game > Trace Health (Regeneration)","Master switch for the whole mechanic. Shipped ON. It exists so the regen self-test can be shown going RED on a build without the feature - `Trace.Health.Regen 0` is the same arm as the console override and both funnel through TraceHealthRegen::IsEnabled()."
"Health and regeneration","Regeneration","RegenDelaySeconds","Regen Delay (s)","9","s","float","UTraceHealthSettings - Project Settings > Game > Trace Health (Regeneration)","""After 9 seconds without taking damage"" - seconds from the LAST DAMAGE TAKEN to the first health gained. Verbatim from the spec, so treat 9 as the design and not as a starting point. Measured from damage that actually landed. A bullet dropped by carrier invulnerability is not damage taken and deliberately does not restart this clock (see ApplyDamage): a carrier being shot at ineffectually all the way down the field ... [allowed range: 0.0 to 60.0]"
"Health and regeneration","Regeneration","RegenRatePerSecond","Regen Rate (HP/s)","10","HP/s","float","UTraceHealthSettings - Project Settings > Game > Trace Health (Regeneration)","HP per second once regeneration is running. 10 HP/s is 0 -> 100 in ten seconds, the spec's [ASSUMPTION] for ""slowly"". Worth stating in the units of the guns that oppose it: a body shot is 40 (three to kill), so this buys back one body shot every four seconds of not being shot. The 9 s delay is what makes that a reward for disengaging rather than a reward for winning a trade. [allowed range: 0.1 to 1000.0]"
"Parry","Parry","ParryDuration","Parry Duration (s)","0.175","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds of trace invulnerability granted by a parry. Spec v10 §4: 0.175 (v8 §3 put it at 0.2, v3 §3 at 0.1). THE WINDOW AND THE INVULNERABILITY ARE THE SAME NUMBER, and spec v10 §4 asks the question outright, so here is the answer in the one place a tuner will look. This codebase has no separate ""press window"": a parry is not a state you can be caught inside, it is an instantaneous grant. ... [allowed range: 0.02 to 2.0]"
"Parry","Parry","ParryCooldown","Parry Cooldown (s)","1.5","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds before the carrier may parry again, measured from the parry's START. [ASSUMPTION] - the spec does not give one. 1.5 s against v8's 0.2 s window is a ~13% uptime, which keeps it a reaction check: spamming it covers almost nothing, so a defender's dash timing still beats a carrier's button mashing. Drop it toward 0.5 and the carrier can simply hold the lane covered; the mechanic then reads as ""the carrier is ... [allowed range: 0.0 to 30.0]"
"Parry","Parry","bParryKillsDasher","Parry Kills the Dasher","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Spec v6 §3: ""Perfectly timed parries should kill the enemy dashing."" A parry that actually intercepts a dash which WOULD have killed the carrier now kills the dasher instead of merely saving the carrier. False restores the pre-v6 behaviour (the parry is purely protective). Only a dash that would genuinely have been lethal is punished - a parry thrown at empty air kills nobody, and under a TrailLethality tuning where ..."
"Parry","Parry","ParryTintColor","Parry Trace Tint","(R=1.000000,G=0.030000,B=0.060000,A=1.000000)","RGBA 0-1","FLinearColor","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Colour the ENTIRE trace turns for the duration of a parry. Spec §3 says red. A gameplay tell, not decoration: it is how the dashing enemy learns their dash is about to be wasted and how the carrier confirms the parry registered. GREEN AND BLUE ARE NEAR ZERO ON PURPOSE AND MUST STAY THAT WAY. The trace is drawn on an unlit emissive material at glow values well above 1, so every channel with any weight in it clips to ..."
"Parry","Parry","ParryGlowScale","Parry Glow Scale","2.6","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Emissive multiplier on the red trace while parrying, on M_TraceNeon. Above the pass window's 1.90 on purpose: the two states must not be confusable at a glance, and the parry is the shorter and more decisive of the two. Red at 2.6 is a step-change in brightness as well as in hue, so the tell survives being seen edge-on, at range, or in the corner of the eye - which is the only way an enemy already committed to a ... [allowed range: 0.0 to 8.0]"
"Core (Mode B)","Core|Pass","PassHoldSeconds","Pass Hold (s)","0.5","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds the carrier must hold the pass input with the crosshair on a legal receiver before the Core transfers. Spec §4. This is the risk beat: the carrier's shield drops the instant the input goes down and the trace goes invulnerable, and both are restored if the pass is cancelled. Longer means a bigger window for a punisher to convert; shorter means passing is close to free. Keep BotPassHoldSeconds equal to it. [allowed range: 0.05 to 5.0]"
"Core (Mode B)","Core|Pass","PassCooldownSeconds","Pass Cooldown (s, on completion)","2","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds before another pass may be STARTED after one COMPLETES. A cancelled attempt spends PassCancelCooldownSeconds instead, which is much shorter - see below. Keep BotPassCooldownSeconds at or just above it. [allowed range: 0.0 to 20.0]"
"Core (Mode B)","Core|Pass","PassCancelCooldownSeconds","Pass Cooldown (s, on cancel)","0.25","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds before another pass may be started after one was CANCELLED. A large part of the reported bug, and the reason it is now a separate number. This used to be PassCooldownSeconds - two full seconds - for a pass the player never chose to abandon. The sequence they experience: hold the input on a teammate, watch the ring fill, watch it vanish because the receiver clipped a rail, and then get NOTHING for two more ... [allowed range: 0.0 to 20.0]"
"Core (Mode B)","Core|Pass","PassMaxRange","Max Pass Range (uu)","8000","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Longest pass the rules allow, in uu. The bots' own pass range works out at ~6600uu (BotPassRangeFieldFraction 0.55 of a 12000uu field HALF-LENGTH - that is half of 24000, not the width), so this comfortably contains every pass a bot attempts while still making a cross-map hail mary illegal. Keep it above the bots' figure or bots will start passes the rules then refuse. [allowed range: 100.0 to 40000.0]"
"Core (Mode B)","Core|Pass","PassAimConeDegrees","Aim Cone (deg)","9","deg","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Half-angle of the pass acquisition cone, in degrees. ""Hover the crosshair over a teammate"", expressed as an angle. 6 -> 9 THIS PASS, and it was a prime suspect in the pass-inconsistency report. At 6 degrees a teammate 4000uu away had to be held inside a circle about 420uu across while both of you were running, which is a lot to ask on a field whose cover just got denser. There is a second, independent test ... [allowed range: 0.5 to 45.0]"
"Core (Mode B)","Core|Pass","PassAimSlack","Aim Slack (uu beyond capsule radius)","70","","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Extra uu added to the receiver's capsule radius for the second, distance-based acquisition test: the aim ray counts as on-target if it passes within (CapsuleRadius + this) of the receiver's capsule axis. Either test acquiring is enough. The angular cone is what makes a distant teammate reachable; this is what stops a near one feeling sloppy - at point-blank range a 9 degree cone is narrower than the teammate's own ... [allowed range: 0.0 to 500.0]"
"Core (Mode B)","Core|Pass","PassValidationGraceSeconds","Validation Grace (s)","0.15","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds an IN-FLIGHT pass survives a receiver who has momentarily stopped being legal. THE FIX FOR THE REPORTED PASS REGRESSION. A pass was measured dying 24 ms before it would have completed because the receiver crossed behind a lane rail for a handful of frames. Line of sight, ""under the crosshair"" and range are all instantaneous tests sampled once per frame against a field whose cover just got much denser, so a ... [allowed range: 0.0 to 2.0]"
"Core (Mode B)","Core|Pass","PassAcquireStickySeconds","Acquire Sticky (s)","0.2","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds ACQUISITION keeps returning the last receiver found after they stop passing the aim/LOS tests. The acquisition-side twin of the grace above. THIS IS THE HALF OF THE REPORT THAT IS A DISPLAY PROBLEM. The HUD polls for a legal receiver about twenty times a second to decide whether to show the pass highlight at all, so a target flickering in and out of legality makes the pass OPTION itself flicker - ""sometimes ... [allowed range: 0.0 to 2.0]"
"Core (Mode B)","Core|Pass","bPassMultiPointLos","Multi-Point Line Of Sight","true","on/off","bool","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","True: probe chest, head AND knees for line of sight and accept any clear one. False: chest only, which is the pre-fix behaviour. A single chest-height ray against the new 176 / 352 / 616 uu cover boxes is close to a coin flip - a receiver whose head and shoulders are plainly visible over a 1x block fails the test because the one point being probed is behind it. Any clear probe meaning ""line of sight"" is both more ..."
"Core (Mode B)","Core|Pass","PassTargetChestOffsetZ","Target Chest Offset Z (uu)","20","uu","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Height above a candidate's actor origin that the aim point and the first LOS probe both target, uu. Chest, not feet. Both must use the same offset or the pass can be aimed at a point the LOS test is not checking, which produces exactly the ""it says I can pass and then nothing happens"" class of bug. [allowed range: -100.0 to 200.0]"
"Core (Mode B)","Core","CoreTurnoverGraceSeconds","Turnover Trace Grace (s)","0.75","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds after the Core changes TEAM before the new carrier's trace starts forming. 1.0 -> 0.4 (spec v3 §1) -> 0.5 (spec v4 §5, which asks for exactly 0.4 x 1.25) -> 0.75 THIS PASS (spec v10 §3). The grace exists so a turnover does not instantly wrap the new carrier in lethal trace laid on top of the scrum they just won it in; at a full second it also meant the counter-attack got a free run with no trace behind it at ... [allowed range: 0.0 to 5.0]"
"Core (Mode B)","Core|Mode B","CoreThrowSpeed","Throw Speed (uu/s, before weight) [mode B]","3300","uu/s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Launch speed, uu/s, of a Core thrown with LMB in mode B. Verbatim: ""The carrier should be able to throw the core forward by left clicking."" Fast enough to be a pass across a lane, slow enough that the ""first player to contact the core picks it up"" rule has something to work with - a Core that crosses the field in half a second cannot be intercepted by anyone, which deletes the whole point of mode B. 3000 covers ... [allowed range: 100.0 to 20000.0]"
"Core (Mode B)","Core|Mode B","CoreThrowUpBias","Throw Upward Bias (fraction of speed) [mode B]","0.12","x (multiplier)","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Fraction of the throw speed added as upward velocity, so a throw arcs instead of running flat along the floor and catching on the first piece of cover. Small: at 0.12 a 3000 uu/s throw leaves with 360 uu/s of lift, which is a shallow arc a player can lead. Raising it makes throws lobbed and easy to read; zero makes them hitscan-flat - and since spec v6 §4.3 raised the hoop off the floor, a flat throw cannot reach ... [allowed range: 0.0 to 1.0]"
"Core (Mode B)","Core|Mode B","CoreThrowVelocityInheritance","Throw Velocity Inheritance (fraction) [mode B]","1","fraction","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","How much of the THROWER'S OWN velocity the Core keeps when it leaves their hands, as a fraction. Spec v8 §4, and the whole of it. Verbatim: ""When jumping and throwing the core, the core doesn't seem to keep momentum. Make sure that the core has the momentum from the throw and also carries momentum from the player."" Before v8 the launch was impulse and nothing else, so a throw taken at a dead sprint and a throw taken ... [allowed range: 0.0 to 2.0]"
"Core (Mode B)","Core|Mode B","CoreThrowChargeSeconds","Throw Charge Time (s) [v13 §6]","0.6","s","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Seconds of holding the throw button to reach FULL momentum, i.e. the throw the game has today. 0.6 as of v17 (""Reduce max charge time from .8 to .6 seconds, but keep max velocity the same""); v16 had already taken it 1.0 -> 0.8. The original 1.0 was the user's own starting number; the linear scale is unchanged, only the time to reach full. This is the anchor the other three are defined against: at exactly this hold, ... [allowed range: 0.05 to 10.0]"
"Core (Mode B)","Core|Mode B","CoreThrowChargeFloorFraction","Throw Charge Floor (fraction of full) [v13 §6]","0.15","0-1","float","UTraceSettings - Project Settings > Game > Trace Gameplay; [/Script/Trace.TraceSettings] in Config/DefaultGame.ini","Momentum an INSTANT CLICK throws with, as a fraction of full. [ASSUMPTION] 0.15. The user asked for ""very low momentum"" on a click and did not give a number. 0.15 is very low - 3000 x 0.15 = 450 uu/s, a lob of a few metres - while staying visibly a THROW. IT IS NOT ZERO, AND THAT IS THE WHOLE REASON THIS KNOB EXISTS. A zero-momentum throw drops the Core at the thrower's feet, inside their own pickup radius, and ... [allowed range: 0.0 to 1.0]"
